,benchmark,model,ROC,precision @ rank,time
253,wine_benchmark_0064.csv,LOF,0.569,0.4255,0.4455
254,wine_benchmark_0064.csv,PCA,0.5528,0.4133,0.018
255,wine_benchmark_0064.csv,LODA,0.6487,0.4691,0.086
256,wine_benchmark_0065.csv,KNN,0.5638,0.4125,0.255
257,wine_benchmark_0065.csv,LOF,0.5614,0.4065,0.3
258,wine_benchmark_0065.csv,PCA,0.5557,0.4057,0.015
259,wine_benchmark_0065.csv,LODA,0.511,0.371,0.094
260,wine_benchmark_0066.csv,KNN,0.5617,0.4327,0.663
261,wine_benchmark_0066.csv,LOF,0.5471,0.4124,0.7671
262,wine_benchmark_0066.csv,PCA,0.548,0.424,0.021
263,wine_benchmark_0066.csv,LODA,0.5577,0.4168,0.091
264,wine_benchmark_0067.csv,KNN,0.5544,0.4183,0.559
265,wine_benchmark_0067.csv,LOF,0.5361,0.4154,0.5936
266,wine_benchmark_0067.csv,PCA,0.5442,0.4289,0.03
267,wine_benchmark_0067.csv,LODA,0.5291,0.4204,0.1
268,wine_benchmark_0068.csv,KNN,0.5705,0.4334,0.639
269,wine_benchmark_0068.csv,LOF,0.5559,0.4159,0.5751
270,wine_benchmark_0068.csv,PCA,0.5615,0.4348,0.016
271,wine_benchmark_0068.csv,LODA,0.5875,0.4363,0.087
272,wine_benchmark_0069.csv,KNN,0.5481,0.4077,0.618
273,wine_benchmark_0069.csv,LOF,0.5363,0.4032,0.6611
274,wine_benchmark_0069.csv,PCA,0.5399,0.404,0.016
275,wine_benchmark_0069.csv,LODA,0.5851,0.4357,0.083
276,wine_benchmark_0070.csv,KNN,0.5363,0.4165,0.601
277,wine_benchmark_0070.csv,LOF,0.5385,0.4143,0.6931
278,wine_benchmark_0070.csv,PCA,0.5414,0.4179,0.019
279,wine_benchmark_0070.csv,LODA,0.5054,0.3897,0.076
280,wine_benchmark_0071.csv,KNN,0.5652,0.4163,0.8711
281,wine_benchmark_0071.csv,LOF,0.5517,0.4081,0.8397
282,wine_benchmark_0071.csv,PCA,0.5533,0.4252,0.0282
283,wine_benchmark_0071.csv,LODA,0.5175,0.3874,0.082
284,wine_benchmark_0072.csv,KNN,0.5449,0.4106,0.7831
285,wine_benchmark_0072.csv,LOF,0.5203,0.3932,0.9068
286,wine_benchmark_0072.csv,PCA,0.5339,0.412,0.04
287,wine_benchmark_0072.csv,LODA,0.4904,0.3729,0.079
288,wine_benchmark_0073.csv,KNN,0.5533,0.4146,0.8851
289,wine_benchmark_0073.csv,LOF,0.5284,0.4088,0.8231
290,wine_benchmark_0073.csv,PCA,0.5332,0.4037,0.029
291,wine_benchmark_0073.csv,LODA,0.5137,0.3901,0.098
292,wine_benchmark_0074.csv,KNN,0.5384,0.4077,0.8798
293,wine_benchmark_0074.csv,LOF,0.5304,0.4012,0.8471
294,wine_benchmark_0074.csv,PCA,0.5322,0.4033,0.039
295,wine_benchmark_0074.csv,LODA,0.4344,0.3208,0.085
296,wine_benchmark_0075.csv,KNN,0.5622,0.4081,0.8911
297,wine_benchmark_0075.csv,LOF,0.5332,0.3926,0.8582
298,wine_benchmark_0075.csv,PCA,0.5506,0.4133,0.027
299,wine_benchmark_0075.csv,LODA,0.5586,0.4141,0.11
300,wine_benchmark_0076.csv,KNN,0.5433,0.3818,1.5056
301,wine_benchmark_0076.csv,LOF,0.5217,0.3741,1.429
302,wine_benchmark_0076.csv,PCA,0.5345,0.3772,0.049
303,wine_benchmark_0076.csv,LODA,0.5703,0.407,0.09
304,wine_benchmark_0077.csv,KNN,0.5219,0.3851,1.4701
305,wine_benchmark_0077.csv,LOF,0.5139,0.3929,1.2936
306,wine_benchmark_0077.csv,PCA,0.5238,0.3936,0.056
307,wine_benchmark_0077.csv,LODA,0.4306,0.3234,0.104
308,wine_benchmark_0078.csv,KNN,0.543,0.3944,1.3181
309,wine_benchmark_0078.csv,LOF,0.5327,0.3944,1.5801
310,wine_benchmark_0078.csv,PCA,0.5387,0.4054,0.059
311,wine_benchmark_0078.csv,LODA,0.5255,0.3981,0.107
312,wine_benchmark_0079.csv,KNN,0.5661,0.4341,1.3555
313,wine_benchmark_0079.csv,LOF,0.5522,0.4262,1.5957
314,wine_benchmark_0079.csv,PCA,0.5607,0.4377,0.054
315,wine_benchmark_0079.csv,LODA,0.6101,0.4885,0.084
316,wine_benchmark_0080.csv,KNN,0.5312,0.3886,1.2901
317,wine_benchmark_0080.csv,LOF,0.52,0.3835,1.3691
318,wine_benchmark_0080.csv,PCA,0.5266,0.3975,0.071
319,wine_benchmark_0080.csv,LODA,0.5226,0.3872,0.081
320,wine_benchmark_0081.csv,KNN,0.5711,0.4298,0.276
321,wine_benchmark_0081.csv,LOF,0.5737,0.4247,0.358
322,wine_benchmark_0081.csv,PCA,0.5431,0.4218,0.014
323,wine_benchmark_0081.csv,LODA,0.5433,0.424,0.091
324,wine_benchmark_0082.csv,KNN,0.5473,0.3973,0.251
325,wine_benchmark_0082.csv,LOF,0.5531,0.3981,0.341
326,wine_benchmark_0082.csv,PCA,0.559,0.4357,0.015
327,wine_benchmark_0082.csv,LODA,0.5574,0.4276,0.095
328,wine_benchmark_0083.csv,KNN,0.5577,0.4129,0.332
329,wine_benchmark_0083.csv,LOF,0.5667,0.4225,0.354
330,wine_benchmark_0083.csv,PCA,0.5526,0.4269,0.015
331,wine_benchmark_0083.csv,LODA,0.5351,0.4062,0.0985
332,wine_benchmark_0084.csv,KNN,0.5347,0.3937,0.31
333,wine_benchmark_0084.csv,LOF,0.5479,0.4148,0.419
