,benchmark,model,AUC,precision @ rank,anomaly.rate,time
112,skin_benchmark_0029.csv,KNN,0.6607,0.2325,0.205,0.08
113,skin_benchmark_0029.csv,LOF,0.4515,0.1821,0.205,0.133
114,skin_benchmark_0029.csv,PCA,0.637,0.3837,0.205,0.025
115,skin_benchmark_0029.csv,LODA,0.6652,0.3049,0.205,0.125
116,skin_benchmark_0030.csv,KNN,0.7294,0.293,0.21216666666666667,0.072
117,skin_benchmark_0030.csv,LOF,0.4453,0.1155,0.21216666666666667,0.122
118,skin_benchmark_0030.csv,PCA,0.7254,0.2954,0.21216666666666667,0.013
119,skin_benchmark_0030.csv,LODA,0.7591,0.3716,0.21216666666666667,0.116
120,skin_benchmark_0031.csv,KNN,0.7432,0.3052,0.207,0.163
121,skin_benchmark_0031.csv,LOF,0.4161,0.1184,0.207,0.265
122,skin_benchmark_0031.csv,PCA,0.6958,0.2923,0.207,0.02
123,skin_benchmark_0031.csv,LODA,0.6676,0.244,0.207,0.131
124,skin_benchmark_0032.csv,KNN,0.6907,0.2882,0.20183333333333334,0.19
125,skin_benchmark_0032.csv,LOF,0.4171,0.1247,0.20183333333333334,0.236
126,skin_benchmark_0032.csv,PCA,0.6347,0.2378,0.20183333333333334,0.016
127,skin_benchmark_0032.csv,LODA,0.6723,0.2618,0.20183333333333334,0.125
128,skin_benchmark_0033.csv,KNN,0.662,0.2796,0.20866666666666667,0.174
129,skin_benchmark_0033.csv,LOF,0.425,0.1462,0.20866666666666667,0.256
130,skin_benchmark_0033.csv,PCA,0.6158,0.2923,0.20866666666666667,0.013
131,skin_benchmark_0033.csv,LODA,0.6998,0.3187,0.20866666666666667,0.118
132,skin_benchmark_0034.csv,KNN,0.7463,0.3206,0.21316666666666667,0.149
133,skin_benchmark_0034.csv,LOF,0.4262,0.1142,0.21316666666666667,0.214
134,skin_benchmark_0034.csv,PCA,0.6916,0.3041,0.21316666666666667,0.029
135,skin_benchmark_0034.csv,LODA,0.6485,0.2267,0.21316666666666667,0.123
136,skin_benchmark_0035.csv,KNN,0.7229,0.2979,0.19416666666666665,0.181
137,skin_benchmark_0035.csv,LOF,0.4521,0.133,0.19416666666666665,0.241
138,skin_benchmark_0035.csv,PCA,0.6486,0.2197,0.19416666666666665,0.013
139,skin_benchmark_0035.csv,LODA,0.6759,0.2223,0.19416666666666665,0.124
140,skin_benchmark_0036.csv,KNN,0.6981,0.3559,0.214,0.7691
141,skin_benchmark_0036.csv,LOF,0.5405,0.2204,0.214,1.0781
142,skin_benchmark_0036.csv,PCA,0.6217,0.2632,0.214,0.021
143,skin_benchmark_0036.csv,LODA,0.596,0.2492,0.214,0.1134
144,skin_benchmark_0037.csv,KNN,0.6786,0.3454,0.21716666666666667,0.8121
145,skin_benchmark_0037.csv,LOF,0.5629,0.2333,0.21716666666666667,0.9021
146,skin_benchmark_0037.csv,PCA,0.5804,0.2724,0.21716666666666667,0.021
147,skin_benchmark_0037.csv,LODA,0.6663,0.373,0.21716666666666667,0.112
148,skin_benchmark_0038.csv,KNN,0.7389,0.3789,0.20983333333333334,0.8421
149,skin_benchmark_0038.csv,LOF,0.5334,0.2208,0.20983333333333334,1.0411
150,skin_benchmark_0038.csv,PCA,0.6335,0.2828,0.20983333333333334,0.024
151,skin_benchmark_0038.csv,LODA,0.6393,0.2947,0.20983333333333334,0.116
152,skin_benchmark_0039.csv,KNN,0.7306,0.3589,0.19966666666666666,0.8991
153,skin_benchmark_0039.csv,LOF,0.5408,0.2154,0.19966666666666666,1.0034
154,skin_benchmark_0039.csv,PCA,0.6296,0.2421,0.19966666666666666,0.02
155,skin_benchmark_0039.csv,LODA,0.6072,0.2095,0.19966666666666666,0.138
156,skin_benchmark_0040.csv,KNN,0.733,0.3686,0.21433333333333332,0.9671
157,skin_benchmark_0040.csv,LOF,0.5227,0.2138,0.21433333333333332,1.1671
158,skin_benchmark_0040.csv,PCA,0.6382,0.2932,0.21433333333333332,0.023
159,skin_benchmark_0040.csv,LODA,0.682,0.3196,0.21433333333333332,0.089
160,skin_benchmark_0041.csv,KNN,0.7166,0.2599,0.2155,0.056
161,skin_benchmark_0041.csv,LOF,0.4164,0.1284,0.2155,0.076
162,skin_benchmark_0041.csv,PCA,0.4339,0.0526,0.2155,0.014
163,skin_benchmark_0041.csv,LODA,0.4339,0.0388,0.2155,0.117
164,skin_benchmark_0042.csv,KNN,0.7118,0.2525,0.21716666666666667,0.053
165,skin_benchmark_0042.csv,LOF,0.4267,0.145,0.21716666666666667,0.085
166,skin_benchmark_0042.csv,PCA,0.4429,0.0353,0.21716666666666667,0.013
167,skin_benchmark_0042.csv,LODA,0.4366,0.0459,0.21716666666666667,0.141
168,skin_benchmark_0043.csv,KNN,0.6894,0.2268,0.21233333333333335,0.051
169,skin_benchmark_0043.csv,LOF,0.4669,0.1766,0.21233333333333335,0.085
170,skin_benchmark_0043.csv,PCA,0.4337,0.0386,0.21233333333333335,0.013
171,skin_benchmark_0043.csv,LODA,0.4224,0.0501,0.21233333333333335,0.13
172,skin_benchmark_0044.csv,KNN,0.7304,0.2617,0.20266666666666666,0.052
173,skin_benchmark_0044.csv,LOF,0.4187,0.1151,0.20266666666666666,0.108
174,skin_benchmark_0044.csv,PCA,0.4576,0.0255,0.20266666666666666,0.013
175,skin_benchmark_0044.csv,LODA,0.4241,0.044,0.20266666666666666,0.124
176,skin_benchmark_0045.csv,KNN,0.708,0.2603,0.21516666666666667,0.05
177,skin_benchmark_0045.csv,LOF,0.4216,0.1146,0.21516666666666667,0.087
178,skin_benchmark_0045.csv,PCA,0.4384,0.0333,0.21516666666666667,0.012
179,skin_benchmark_0045.csv,LODA,0.4562,0.0401,0.21516666666666667,0.116
180,skin_benchmark_0046.csv,KNN,0.7114,0.2136,0.20366666666666666,0.072
181,skin_benchmark_0046.csv,LOF,0.4172,0.0851,0.20366666666666666,0.099
182,skin_benchmark_0046.csv,PCA,0.4252,0.072,0.20366666666666666,0.012
183,skin_benchmark_0046.csv,LODA,0.5873,0.153,0.20366666666666666,0.14
184,skin_benchmark_0047.csv,KNN,0.7059,0.2025,0.2,0.081
185,skin_benchmark_0047.csv,LOF,0.4388,0.0967,0.2,0.124
186,skin_benchmark_0047.csv,PCA,0.4238,0.0558,0.2,0.012
187,skin_benchmark_0047.csv,LODA,0.5002,0.1008,0.2,0.126
188,skin_benchmark_0048.csv,KNN,0.6902,0.2279,0.20333333333333334,0.068
189,skin_benchmark_0048.csv,LOF,0.4246,0.1189,0.20333333333333334,0.11
190,skin_benchmark_0048.csv,PCA,0.432,0.0787,0.20333333333333334,0.012
191,skin_benchmark_0048.csv,LODA,0.4244,0.0385,0.20333333333333334,0.144
192,skin_benchmark_0049.csv,KNN,0.7159,0.2424,0.207,0.06
193,skin_benchmark_0049.csv,LOF,0.4089,0.0845,0.207,0.096
194,skin_benchmark_0049.csv,PCA,0.4282,0.0644,0.207,0.024
195,skin_benchmark_0049.csv,LODA,0.5396,0.128,0.207,0.141
196,skin_benchmark_0050.csv,KNN,0.7045,0.2271,0.21283333333333335,0.081
197,skin_benchmark_0050.csv,LOF,0.4064,0.0767,0.21283333333333335,0.1
198,skin_benchmark_0050.csv,PCA,0.4191,0.0807,0.21283333333333335,0.011
199,skin_benchmark_0050.csv,LODA,0.4105,0.0579,0.21283333333333335,0.125
200,skin_benchmark_0051.csv,KNN,0.6805,0.2802,0.207,0.175
201,skin_benchmark_0051.csv,LOF,0.4077,0.1079,0.207,0.282
202,skin_benchmark_0051.csv,PCA,0.4187,0.0829,0.207,0.016
203,skin_benchmark_0051.csv,LODA,0.3528,0.058,0.207,0.13
204,skin_benchmark_0052.csv,KNN,0.668,0.2544,0.20833333333333334,0.18
205,skin_benchmark_0052.csv,LOF,0.3927,0.1064,0.20833333333333334,0.26
206,skin_benchmark_0052.csv,PCA,0.4225,0.0848,0.20833333333333334,0.018
207,skin_benchmark_0052.csv,LODA,0.485,0.0888,0.20833333333333334,0.152
208,skin_benchmark_0053.csv,KNN,0.6663,0.245,0.20133333333333334,0.184
209,skin_benchmark_0053.csv,LOF,0.4301,0.1209,0.20133333333333334,0.269
210,skin_benchmark_0053.csv,PCA,0.4315,0.0869,0.20133333333333334,0.026
211,skin_benchmark_0053.csv,LODA,0.4317,0.1084,0.20133333333333334,0.115
212,skin_benchmark_0054.csv,KNN,0.6842,0.2889,0.21116666666666667,0.174
213,skin_benchmark_0054.csv,LOF,0.3809,0.0892,0.21116666666666667,0.3444
214,skin_benchmark_0054.csv,PCA,0.4424,0.1073,0.21116666666666667,0.017
215,skin_benchmark_0054.csv,LODA,0.4148,0.1184,0.21116666666666667,0.1427
216,skin_benchmark_0055.csv,KNN,0.688,0.2506,0.1975,0.137
217,skin_benchmark_0055.csv,LOF,0.4117,0.1122,0.1975,0.256
218,skin_benchmark_0055.csv,PCA,0.4545,0.0954,0.1975,0.016
219,skin_benchmark_0055.csv,LODA,0.5082,0.1114,0.1975,0.121
220,skin_benchmark_0056.csv,KNN,0.6306,0.277,0.20333333333333334,0.8722
221,skin_benchmark_0056.csv,LOF,0.5715,0.1943,0.20333333333333334,1.2081
222,skin_benchmark_0056.csv,PCA,0.4487,0.1311,0.20333333333333334,0.023
223,skin_benchmark_0056.csv,LODA,0.3947,0.1189,0.20333333333333334,0.153
224,skin_benchmark_0057.csv,KNN,0.6217,0.2586,0.2075,0.8931
225,skin_benchmark_0057.csv,LOF,0.5544,0.2072,0.2075,1.0347
226,skin_benchmark_0057.csv,PCA,0.4351,0.1229,0.2075,0.024
227,skin_benchmark_0057.csv,LODA,0.3928,0.1004,0.2075,0.124
228,skin_benchmark_0058.csv,KNN,0.6226,0.2475,0.20333333333333334,0.8866
229,skin_benchmark_0058.csv,LOF,0.5543,0.2008,0.20333333333333334,0.9461
230,skin_benchmark_0058.csv,PCA,0.4326,0.1098,0.20333333333333334,0.02
231,skin_benchmark_0058.csv,LODA,0.4824,0.1549,0.20333333333333334,0.116
232,skin_benchmark_0059.csv,KNN,0.6143,0.2563,0.21,0.7221
233,skin_benchmark_0059.csv,LOF,0.5635,0.2143,0.21,0.9679
234,skin_benchmark_0059.csv,PCA,0.4348,0.1254,0.21,0.021
235,skin_benchmark_0059.csv,LODA,0.5258,0.2254,0.21,0.104
236,skin_benchmark_0060.csv,KNN,0.6241,0.2577,0.205,0.8081
237,skin_benchmark_0060.csv,LOF,0.5529,0.1854,0.205,0.9571
238,skin_benchmark_0060.csv,PCA,0.4467,0.1098,0.205,0.034
239,skin_benchmark_0060.csv,LODA,0.4364,0.1276,0.205,0.126
240,skin_benchmark_0061.csv,KNN,0.717,0.2512,0.207,0.052
241,skin_benchmark_0061.csv,LOF,0.414,0.1055,0.207,0.086
242,skin_benchmark_0061.csv,PCA,0.4389,0.038,0.207,0.014
243,skin_benchmark_0061.csv,LODA,0.5272,0.0542,0.207,0.143
244,skin_benchmark_0062.csv,KNN,0.7178,0.2621,0.206,0.05
245,skin_benchmark_0062.csv,LOF,0.4223,0.0874,0.206,0.08
246,skin_benchmark_0062.csv,PCA,0.4748,0.034,0.206,0.013
247,skin_benchmark_0062.csv,LODA,0.4576,0.0449,0.206,0.145
248,skin_benchmark_0063.csv,KNN,0.7281,0.2524,0.21133333333333335,0.048
249,skin_benchmark_0063.csv,LOF,0.4133,0.108,0.21133333333333335,0.09
250,skin_benchmark_0063.csv,PCA,0.4405,0.0363,0.21133333333333335,0.014
251,skin_benchmark_0063.csv,LODA,0.4386,0.0409,0.21133333333333335,0.147
252,skin_benchmark_0064.csv,KNN,0.7222,0.251,0.20583333333333334,0.045
253,skin_benchmark_0064.csv,LOF,0.4315,0.119,0.20583333333333334,0.075
254,skin_benchmark_0064.csv,PCA,0.4306,0.0526,0.20583333333333334,0.013
255,skin_benchmark_0064.csv,LODA,0.5299,0.1208,0.20583333333333334,0.152
256,skin_benchmark_0065.csv,KNN,0.72,0.2549,0.206,0.057
257,skin_benchmark_0065.csv,LOF,0.428,0.1189,0.206,0.085
258,skin_benchmark_0065.csv,PCA,0.442,0.047,0.206,0.027
259,skin_benchmark_0065.csv,LODA,0.4336,0.0386,0.206,0.154
260,skin_benchmark_0066.csv,KNN,0.7006,0.2239,0.21066666666666667,0.062
261,skin_benchmark_0066.csv,LOF,0.4213,0.1068,0.21066666666666667,0.095
262,skin_benchmark_0066.csv,PCA,0.4222,0.0728,0.21066666666666667,0.016
263,skin_benchmark_0066.csv,LODA,0.4257,0.1139,0.21066666666666667,0.148
264,skin_benchmark_0067.csv,KNN,0.7152,0.2621,0.21433333333333332,0.071
265,skin_benchmark_0067.csv,LOF,0.4214,0.0972,0.21433333333333332,0.128
266,skin_benchmark_0067.csv,PCA,0.4395,0.0972,0.21433333333333332,0.026
267,skin_benchmark_0067.csv,LODA,0.4543,0.0934,0.21433333333333332,0.13
268,skin_benchmark_0068.csv,KNN,0.7147,0.2141,0.2055,0.068
269,skin_benchmark_0068.csv,LOF,0.4188,0.0738,0.2055,0.135
270,skin_benchmark_0068.csv,PCA,0.4458,0.0908,0.2055,0.019
271,skin_benchmark_0068.csv,LODA,0.4918,0.1379,0.2055,0.129
272,skin_benchmark_0069.csv,KNN,0.7046,0.2224,0.21433333333333332,0.098
273,skin_benchmark_0069.csv,LOF,0.406,0.0933,0.21433333333333332,0.119
274,skin_benchmark_0069.csv,PCA,0.4251,0.0824,0.21433333333333332,0.011
275,skin_benchmark_0069.csv,LODA,0.435,0.0925,0.21433333333333332,0.139
276,skin_benchmark_0070.csv,KNN,0.7044,0.2281,0.20533333333333334,0.068
277,skin_benchmark_0070.csv,LOF,0.4062,0.0974,0.20533333333333334,0.116
278,skin_benchmark_0070.csv,PCA,0.4369,0.0828,0.20533333333333334,0.025
279,skin_benchmark_0070.csv,LODA,0.5116,0.0649,0.20533333333333334,0.122
280,skin_benchmark_0071.csv,KNN,0.6551,0.2466,0.20883333333333334,0.184
281,skin_benchmark_0071.csv,LOF,0.3871,0.1117,0.20883333333333334,0.257
282,skin_benchmark_0071.csv,PCA,0.444,0.0974,0.20883333333333334,0.013
283,skin_benchmark_0071.csv,LODA,0.3912,0.0758,0.20883333333333334,0.1106
284,skin_benchmark_0072.csv,KNN,0.6321,0.2455,0.21183333333333335,0.17
285,skin_benchmark_0072.csv,LOF,0.417,0.1172,0.21183333333333335,0.221
286,skin_benchmark_0072.csv,PCA,0.4318,0.0999,0.21183333333333335,0.019
287,skin_benchmark_0072.csv,LODA,0.422,0.0858,0.21183333333333335,0.1416
288,skin_benchmark_0073.csv,KNN,0.6454,0.2615,0.21666666666666667,0.1985
289,skin_benchmark_0073.csv,LOF,0.4095,0.1308,0.21666666666666667,0.246
290,skin_benchmark_0073.csv,PCA,0.4353,0.1115,0.21666666666666667,0.015
291,skin_benchmark_0073.csv,LODA,0.5232,0.1785,0.21666666666666667,0.129
292,skin_benchmark_0074.csv,KNN,0.6688,0.2473,0.20283333333333334,0.187
293,skin_benchmark_0074.csv,LOF,0.3877,0.0896,0.20283333333333334,0.318
294,skin_benchmark_0074.csv,PCA,0.4428,0.0978,0.20283333333333334,0.028
295,skin_benchmark_0074.csv,LODA,0.4132,0.0929,0.20283333333333334,0.139
296,skin_benchmark_0075.csv,KNN,0.6772,0.2601,0.2025,0.135
297,skin_benchmark_0075.csv,LOF,0.4079,0.116,0.2025,0.213
298,skin_benchmark_0075.csv,PCA,0.4496,0.1004,0.2025,0.013
299,skin_benchmark_0075.csv,LODA,0.5449,0.1506,0.2025,0.154
300,skin_benchmark_0076.csv,KNN,0.5951,0.2637,0.213,0.9241
301,skin_benchmark_0076.csv,LOF,0.5425,0.223,0.213,1.1691
302,skin_benchmark_0076.csv,PCA,0.426,0.115,0.213,0.027
303,skin_benchmark_0076.csv,LODA,0.4141,0.1228,0.213,0.1306
304,skin_benchmark_0077.csv,KNN,0.6232,0.2729,0.20883333333333334,0.8151
305,skin_benchmark_0077.csv,LOF,0.5765,0.2171,0.20883333333333334,1.0291
306,skin_benchmark_0077.csv,PCA,0.4483,0.1293,0.20883333333333334,0.024
307,skin_benchmark_0077.csv,LODA,0.5417,0.2251,0.20883333333333334,0.137
308,skin_benchmark_0078.csv,KNN,0.6085,0.2631,0.20966666666666667,0.7911
309,skin_benchmark_0078.csv,LOF,0.555,0.2003,0.20966666666666667,1.0891
310,skin_benchmark_0078.csv,PCA,0.4285,0.1129,0.20966666666666667,0.033
311,skin_benchmark_0078.csv,LODA,0.4858,0.1733,0.20966666666666667,0.119
312,skin_benchmark_0079.csv,KNN,0.6099,0.2603,0.21066666666666667,0.8562
313,skin_benchmark_0079.csv,LOF,0.5601,0.2065,0.21066666666666667,0.9458
314,skin_benchmark_0079.csv,PCA,0.4363,0.1226,0.21066666666666667,0.027
315,skin_benchmark_0079.csv,LODA,0.4602,0.182,0.21066666666666667,0.101
316,skin_benchmark_0080.csv,KNN,0.6199,0.2612,0.2055,0.8291
317,skin_benchmark_0080.csv,LOF,0.5556,0.2157,0.2055,1.0673
318,skin_benchmark_0080.csv,PCA,0.4435,0.1273,0.2055,0.021
319,skin_benchmark_0080.csv,LODA,0.4162,0.1192,0.2055,0.101
320,skin_benchmark_0081.csv,KNN,0.7294,0.3192,0.212,0.06
321,skin_benchmark_0081.csv,LOF,0.4634,0.1211,0.212,0.084
322,skin_benchmark_0081.csv,PCA,0.7708,0.3742,0.212,0.015
323,skin_benchmark_0081.csv,LODA,0.6799,0.3036,0.212,0.145
324,skin_benchmark_0082.csv,KNN,0.6897,0.2695,0.20966666666666667,0.051
325,skin_benchmark_0082.csv,LOF,0.4617,0.1335,0.20966666666666667,0.085
326,skin_benchmark_0082.csv,PCA,0.7419,0.2695,0.20966666666666667,0.014
327,skin_benchmark_0082.csv,LODA,0.6714,0.2807,0.20966666666666667,0.117
328,skin_benchmark_0083.csv,KNN,0.7296,0.2812,0.20866666666666667,0.042
329,skin_benchmark_0083.csv,LOF,0.4351,0.1038,0.20866666666666667,0.084
330,skin_benchmark_0083.csv,PCA,0.7766,0.3826,0.20866666666666667,0.013
331,skin_benchmark_0083.csv,LODA,0.6234,0.0903,0.20866666666666667,0.152
332,skin_benchmark_0084.csv,KNN,0.7319,0.3052,0.207,0.056
333,skin_benchmark_0084.csv,LOF,0.4605,0.1119,0.207,0.096
334,skin_benchmark_0084.csv,PCA,0.7636,0.3398,0.207,0.014
335,skin_benchmark_0084.csv,LODA,0.6374,0.2698,0.207,0.1315
